model,step,state_error,cumulative_rmse
MATLAB_Residual_LSTM,35,8.81284460837564,4.84076485827134
MATLAB_Residual_LSTM,36,9.15583607503695,5.01105580106673
MATLAB_Residual_LSTM,37,9.50069130199008,5.18377829414726
MATLAB_Residual_LSTM,38,9.84104831551908,5.3584509148355
MATLAB_Residual_LSTM,39,10.1726336921437,5.53445230906016
MATLAB_Residual_LSTM,40,10.4938576668855,5.71116752692049
MATLAB_Residual_LSTM,41,10.8041385625418,5.88803414727937
MATLAB_Residual_LSTM,42,11.1045694232839,6.064608991002
MATLAB_Residual_LSTM,43,11.3970097326958,6.24058376038119
MATLAB_Residual_LSTM,44,11.6841002278387,6.41579776439397
MATLAB_Residual_LSTM,45,11.9691685709386,6.59024409974162
MATLAB_Residual_LSTM,46,12.2568438811361,6.76409880266943
MATLAB_Residual_LSTM,47,12.5516103987386,6.93768988433459
MATLAB_Residual_LSTM,48,12.8580311355821,7.11148043138981
MATLAB_Residual_LSTM,49,13.177785660665,7.28594596742046
MATLAB_Residual_LSTM,50,13.5113404127448,7.46153032978815
MATLAB_Residual_LSTM,51,13.8568053983273,7.63856674648334
MATLAB_Residual_LSTM,52,14.2105364910335,7.81722967150562
MATLAB_Residual_LSTM,53,14.5682342526614,7.99752980208541
MATLAB_Residual_LSTM,54,14.9245928417874,8.17929756453935
MATLAB_Residual_LSTM,55,15.2740431117416,8.36219355741327
MATLAB_Residual_LSTM,56,15.6122360344671,8.545766886548
MATLAB_Residual_LSTM,57,15.9411388359039,8.72967039974039
MATLAB_Residual_LSTM,58,16.2714025432765,8.91392345807006
MATLAB_Residual_LSTM,59,16.6204965319375,9.09908425930258
MATLAB_Residual_LSTM,60,17.0094663667061,9.28630593328648
MATLAB_Residual_LSTM,61,17.4567767057046,9.47720970050519
MATLAB_Residual_LSTM,62,17.9747083572713,9.67367384149213
MATLAB_Residual_LSTM,63,18.5714250795492,9.87770914910572
MATLAB_Residual_LSTM,64,19.2504403394294,10.0913291597172
MATLAB_Residual_LSTM,65,20.0131866332646,10.3165011873379
MATLAB_Residual_LSTM,66,20.8605247379779,10.5551396937386
MATLAB_Residual_LSTM,67,21.7925255932775,10.8090885284891
MATLAB_Residual_LSTM,68,22.8092056084413,11.0801215174426
MATLAB_Residual_LSTM,69,23.9100810243495,11.3699261898353
MATLAB_Residual_LSTM,70,25.0960075367456,11.680141805697
MATLAB_Residual_LSTM,71,26.3695760489864,12.0124081524455
MATLAB_Residual_LSTM,72,27.735579146145,12.3684279819733
MATLAB_Residual_LSTM,73,29.2040045465902,12.7501225646626
MATLAB_Residual_LSTM,74,30.7891369019049,13.1597572506878
MATLAB_Residual_LSTM,75,32.5104835176543,13.6000946785586
MATLAB_Residual_LSTM,76,34.3934511193209,14.0745676874942
MATLAB_Residual_LSTM,77,36.4654202829059,14.5873230416883
MATLAB_Residual_LSTM,78,38.7542258580992,15.1432135612888
MATLAB_Residual_LSTM,79,41.283052036492,15.7476178260964
MATLAB_Residual_LSTM,80,44.0660558638176,16.4061067852566
MATLAB_Residual_LSTM,81,47.1047774932213,17.1239804600987
MATLAB_Residual_LSTM,82,50.3872224214833,17.9057694183505
MATLAB_Residual_LSTM,83,53.8906057745478,18.7548409251909
MATLAB_Residual_LSTM,84,57.5889066748564,19.6732955928813
MATLAB_Residual_LSTM,85,61.4581315885628,20.6620826167125
MATLAB_Residual_LSTM,86,65.4805731253786,21.7212912353122
MATLAB_Residual_LSTM,87,69.6451186931099,22.8504606331228
MATLAB_Residual_LSTM,88,73.9413126812098,24.0486738130649
MATLAB_Residual_LSTM,89,78.3594855487272,25.3146526042502
MATLAB_Residual_LSTM,90,82.8841376999058,26.6466166141702
MATLAB_Residual_LSTM,91,87.4955248207003,28.0422097058649
MATLAB_Residual_LSTM,92,92.1666736334365,29.498334241978
MATLAB_Residual_LSTM,93,96.8723871134567,31.0113087083442
MATLAB_Residual_LSTM,94,101.5847933754,32.5768629798126
MATLAB_Residual_LSTM,95,106.276838288449,34.1902501503302
MATLAB_Residual_LSTM,96,110.924860828535,35.84642870074
