x_t,y_t,z_t,x_next
-9.758892879861504,-9.666783574281222,28.76648486180503,-9.517909907920362
-9.752260647234376,-9.579166077334932,28.85178508221128,-9.474134097633787
-9.741590107145509,-9.488015191187671,28.93121241606475,-9.427291467287562
-9.72691408985784,-9.39366692932291,29.004500848865355,-9.377547826843946
-9.708280560346232,-9.296471078255385,29.07141252618232,-9.325078346819568
-9.685752497338415,-9.196788819276426,29.131738847407647,-9.270066558031418
-9.659407650045763,-9.09499018140647,29.185301347397886,-9.21270333604943
-9.629338190474929,-8.991451537232049,29.231952248019226,-9.153185838314014
-9.59565025970625,-8.886553058236434,29.271574790865067,-9.091716431305592
-9.558463399442235,-8.78067614795494,29.304083287855754,-9.028501632683902
-9.517909907920362,-8.674201008102466,29.329422897985168,-8.96375103417482
-9.474134097633787,-8.567504227600187,29.3475691877919,-8.897676254535742
-9.427291467287562,-8.460956474255338,29.358527425810795,-8.83048992993053
-9.377547826843946,-8.354920374231337,29.36233167452457,-8.762404709333797
-9.325078346819568,-8.249748489293621,29.359043693850484,-8.693632318724998
-9.270066558031418,-8.14578147916876,29.348751641191836,-8.62438266861981
-9.21270333604943,-8.043346484369788,29.33156864850259,-8.554862992525573
-9.153185838314014,-7.942755657372468,29.307631262096056,-8.485277081787828
-9.091716431305592,-7.844304924509145,29.277097762940013,-8.415824552013577
-9.028501632683902,-7.748272970632414,29.24014644462779,-8.34670017969203
-8.96375103417482,-7.654920393498192,29.19697381219521,-8.278093326829959
-8.897676254535742,-7.564489099684519,29.147792752559255,-8.210187392758186
-8.83048992993053,-7.477201893322878,29.092830730785234,-8.143159377095365
-8.762404709333797,-7.393262234683275,29.032327958174285,-8.077179474234716
-8.693632318724998,-7.312854217729899,28.966535623690778,-8.012410748145506
-8.62438266861981,-7.236142685879523,28.895714186661788,-7.94900887603702
-8.554862992525573,-7.1632735111851185,28.82013168958903,-7.887121926754576
-8.485277081787828,-7.0943740314380035,28.740062210151567,-7.826890235740966
-8.415824552013577,-7.029553573600083,28.655784366239114,-7.768446283982065
-8.34670017969203,-6.968904126138157,28.56757991171671,-7.711914682616878
-8.278093326829959,-6.9125010720538285,28.475732486088326,-7.657412143189667
-8.210187392758186,-6.860404004687799,28.380526399349105,-7.605047552673251
-8.143159377095365,-6.812657618531939,28.282245599550915,-7.554922019965525
-8.077179474234716,-6.7692926030195695,28.18117270155502,-7.507129025002143
-8.012410748145506,-6.730326622712044,28.077588136449116,-7.461754523107653
-7.94900887603702,-6.695765247568608,27.97176943732995,-7.4188771525533985
-7.887121926754576,-6.665602946785557,27.863990565316268,-7.378568380361876
-7.826890235740966,-6.639824026868266,27.754521420612548,-7.340892748566961
-7.768446283982065,-6.618403579637496,27.643627346043818,-7.30590805505724
-7.711914682616878,-6.6013083922574465,27.531568826767554,-7.273665607042464
-7.657412143189667,-6.588497817521654,27.41860115737675,-7.244210444351652
-7.605047552673251,-6.579924616929628,27.304974299670196,-7.217581564758336
-7.554922019965525,-6.575535735735213,27.190932687967113,-7.193812191060236
-7.507129025002143,-6.575273049147231,27.076715219778606,-7.172929956958763
-7.461754523107653,-6.579074032530145,26.96255516754248,-7.154957190208886
-7.4188771525533985,-6.586872387798605,26.848680279934257,-7.13991107820753
-7.378568380361876,-6.598598607793532,26.735312770555858,-7.127803924211118
-7.340892748566961,-6.6141804681957295,26.622669501176983,-7.11864331724714
-7.30590805505724,-6.633543488674612,26.51096203496681,-7.112432327515738
-7.273665607042464,-6.656611285062166,26.40039685356869,-7.109169686758363
-7.244210444351652,-6.683305925101864,26.291175487292566,-7.108849922419598
-7.217581564758336,-6.71354815815257,26.183494706047405,-7.111463526681149
-7.193812191060236,-6.747257645426804,26.07754673818542,-7.1169970457913205
-7.172929956958763,-6.784353101756829,25.97351940432211,-7.125433216283163
-7.154957190208886,-6.8247523872292915,25.871596394294222,-7.13675102060678
-7.13991107820753,-6.868372572602152,25.771957365961402,-7.1509257796081
-7.127803924211118,-6.9151299172218295,25.674778211099454,-7.167929179002531
-7.11864331724714,-6.9649398388665675,25.58023116408792,-7.1877293144509835
-7.112432327515738,-7.017716819584976,25.48848499275498,-7.210290689591162
-7.109169686758363,-7.073374266349636,25.399705135482808,-7.235574216607794
-7.108849922419598,-7.131824367308234,25.314053801526473,-7.263537183329926
-7.111463526681149,-7.192977856872374,25.231690111108488,-7.294133215637942
-7.1169970457913205,-7.256743819906973,25.15277011838499,-7.327312212149396
-7.125433216283163,-7.32302939175172,25.07744692114245,-7.363020275107992
-7.13675102060678,-7.391739503846128,25.005870618882636,-7.4011996138150336
-7.1509257796081,-7.462776544747507,24.93818836536884,-7.4417884504687315
-7.167929179002531,-7.53604004816417,24.87454426822315,-7.484720896041262
-7.1877293144509835,-7.6114263370384325,24.815079365726856,-7.529926837829876
-7.210290689591162,-7.6888281597677475,24.759931466682115,-7.577331793615729
-7.235574216607794,-7.768134332844583,24.709235041931265,-7.6268567884619065
-7.263537183329926,-7.849229340968778,24.663120997094868,-7.678418194901769
-7.294133215637942,-7.93199298714709,24.621716473475974,-7.731927607518045
-7.327312212149396,-8.01629997856555,24.58514454622515,-7.787291678857402
-7.363020275107992,-8.102019592344442,24.55352392981457,-7.844412001250327
-7.4011996138150336,-8.18901527040826,24.526968595979678,-7.9031849503728315
-7.4417884504687315,-8.277144312440846,24.50558737983427,-7.963501584296693
-7.484720896041262,-8.366257502428851,24.489483513433044,-8.025247509317845
-7.529926837829876,-8.456198844950407,24.47875413111715,-8.088302806073214
-7.577331793615729,-8.546805245673786,24.473489715680753,-8.152541935407884
-7.6268567884619065,-8.637906311173804,24.473773505527248,-8.217833700634765
-7.678418194901769,-8.729324106429265,24.479680851971764,-8.28404121409848
-7.731927607518045,-8.82087304100532,24.49127853570593,-8.351021904272365
